Date,Media Sources,Neutral,Positive,Text,Tweet Polarity,Tweets Ago
09/20/2017,The New York Times,1.0,0.0,RT @nytimesES: ¿Te afectó el sismo de ayer en México o a tu familia? ¿Cómo lo viviste? Déjanos tu historia en los comentarios para que poda…,0.0,58
09/20/2017,The New York Times,0.783,0.0,A sect has tried to keep a low profile amid years of attacks by Sunni extremist groups that consider them heretics https://t.co/m3k5wyvEox,-0.6124,57
09/20/2017,The New York Times,1.0,0.0,RT @juliamoskin: Come on. https://t.co/RwUkI4y1qf,0.0,56
09/20/2017,The New York Times,0.833,0.0,"Opinion: Tragic interactions between disabled people and the police are terrifyingly common, writes Steve Silberman https://t.co/au4lC543oq",-0.4588,55
09/20/2017,The New York Times,0.855,0.145,The fashion editors of @tmagazine and @NYTStyles share their personal highlights of #LFW https://t.co/HgQpLyvT4T,0.296,54
09/20/2017,The New York Times,1.0,0.0,"The world’s 9 nuclear-armed countries, including the U.S. and North Korea, declined to sign the treaty https://t.co/xMXMcCaHfx",0.0,53
09/20/2017,The New York Times,0.854,0.0,Leaders and diplomats from dozens of countries signed a treaty at the #UNGA that will outlaw nuclear weapons https://t.co/xMXMcCaHfx,-0.4404,52
09/20/2017,The New York Times,0.824,0.0,Linda Hamilton will be back as Sarah Connor — never mind that she was killed off before the events of “Terminator 3” https://t.co/X3BofYUSz6,-0.6705,51
09/20/2017,The New York Times,0.668,0.093,"“To see a parent carry their own dead baby is something I will never forget"" https://t.co/UZSPQfC4Wa",-0.5624,50
09/20/2017,The New York Times,1.0,0.0,Here’s a rundown of some of iOS 11’s biggest features https://t.co/CPmes4k6MW,0.0,49
09/20/2017,The New York Times,0.594,0.223,The latest effort to repeal Obamacare could create both flexibility and chaos for states https://t.co/WqDyUMRCxI,-0.0516,48
09/20/2017,The New York Times,0.838,0.0,The police raided the offices of the Catalan regional government and arrested at least 14 people https://t.co/LXfd7QWXq8,-0.4767,47
09/20/2017,The New York Times,0.845,0.0,Opinion: I wanted people to know I was bipolar — that the “madman” they’d been covering for was a sick young man https://t.co/mUmXVvGts9,-0.5106,46
09/20/2017,The New York Times,0.817,0.183,Senators Elizabeth Warren and Bernie Sanders are taking different paths to win new fans ahead of 2020 https://t.co/tSB6MltG6V,0.5859,45
